track_name,track_id,danceability,acousticness,energy,tempo,instrumentalness,loudness,liveness,duration_ms,key,valence,speechiness
Včeraj,6o71Foef4Jf2LMFnHuvQo4,0.354,0.995,0.0112,146.302,0.923,-31.111,0.109,125500,10,0.211,0.044
La Storia,3U5RTSxDKkhA6rtHEXpI6H,0.309,0.991,0.0397,104.567,0.913,-29.837,0.106,164842,5,0.12,0.0492
Trust,6MV97AqFAH2PLEzfuX5qzS,0.204,0.993,0.0125,84.494,0.837,-34.254,0.106,135875,10,0.202,0.0522
Helgoland,3CHSUEhxoy2s7NKVhH89wu,0.476,0.981,0.14,95.283,0.899,-21.606,0.102,146848,3,0.523,0.0373
Prozatím,3dS8RW1e5gd5rbSmNjDAPe,0.374,0.995,0.0653,102.237,0.903,-29.019,0.144,123500,5,0.318,0.0424
Scenery,0RgAkhVOWf3CZnWtFA1891,0.476,0.995,0.0215,73.706,0.941,-33.683,0.107,137819,1,0.279,0.043
Contemplation,04QMzMxrwND0Tkh3Na0K6K,0.58,0.993,0.0261,127.878,0.948,-23.713,0.0891,184240,5,0.074,0.0851
Psychic,64pUytZWfCpeeMBN0XAadF,0.739,0.0395,0.58,96.501,0.0,-7.414,0.114,220760,1,0.452,0.0637
Lost Me,6TSO4hwz9WGrEUY7ABGVim,0.428,0.525,0.443,87.934,1.76e-05,-8.955,0.219,180954,2,0.2,0.101
PRICE OF FAME,1RR29QADKP8ygptqTDdHSH,0.442,0.134,0.346,77.051,0.0,-10.798,0.149,379004,9,0.171,0.0886
How (feat. Roddy Ricch),6w93UfN5MeXXQTrVIf5V6x,0.464,0.215,0.445,94.14,0.0,-8.507,0.495,218320,4,0.181,0.238
Make You Mine,7r1MqPAD09w24mCUUbxiCI,0.551,0.87,0.37,137.265,0.0,-10.194,0.122,200192,5,0.241,0.0551
Every Good Girl,6VYBCG9nCZwUUImVqZQVet,0.53,0.0457,0.937,92.916,0.0,-2.757,0.151,176851,0,0.46,0.321
BREAK MY SOUL,2KukL7UlQ8TdvpaA7bY3ZJ,0.687,0.0575,0.887,114.941,2.21e-06,-5.04,0.27,278282,1,0.853,0.0826
Call Me Every Day (feat. WizKid),7vVs4XCsQyGn1Au3drvo9Z,0.729,0.115,0.634,171.862,1.35e-05,-7.194,0.0997,146840,4,0.772,0.175
Tread Carefully,7newfXclX39UwWTw2gDswM,0.505,0.115,0.249,115.815,0.0,-14.879,0.155,182069,1,0.207,0.139
Insane,3pcxxaUxAMSfz2zgetHydD,0.39,0.632,0.607,161.625,0.000162,-8.056,0.138,189906,3,0.347,0.303
everything,6pyM30WDpG70VTfwoQg4m2,0.388,0.851,0.448,142.342,0.0,-5.221,0.302,207551,8,0.397,0.0341
Lie Again,6LL5S3DGrUJ6cZRuDefguP,0.431,0.434,0.349,62.627,7.02e-05,-9.426,0.241,187027,7,0.165,0.0325
WE (Warm Embrace),7rTzmiwE6lmBG8vQvBzNg7,0.698,0.11,0.603,86.998,0.0,-6.508,0.0786,234967,5,0.91,0.106
Please Do Not Lean (feat. BADBADNOTGOOD),5uXO1sjZ7VbNKexKaFRna3,0.67,0.241,0.41,127.972,8.55e-06,-13.444,0.167,240938,1,0.46,0.0381
Over,23CKxEwKWsLs6LD5poGOLM,0.65,0.502,0.555,103.081,0.0,-5.971,0.104,207413,6,0.352,0.0719
Keeps On Fallin' (with Ella Mai),5FD2dCAmjm3yVJRRfLPda4,0.637,0.0572,0.784,93.982,0.0,-5.034,0.143,175285,5,0.729,0.0821
Leave You Alone,63QC7HvgJXgH8udcfPqW7q,0.663,0.07,0.649,114.948,0.0,-4.524,0.114,209136,3,0.504,0.0594
Say Yea,72kAhVS63uHIQV7drmjjHZ,0.649,0.224,0.661,140.325,0.0,-5.456,0.108,205621,1,0.364,0.138
Out Loud (feat. Kehlani),0P11qKeHWhUy0rDPeY8dyB,0.565,0.328,0.364,155.705,0.0,-9.512,0.108,203037,6,0.527,0.2
Dead To Me,38k5xUTekY8K6yVqHkbgIo,0.526,0.694,0.347,115.219,0.000251,-10.333,0.112,133671,7,0.344,0.13
Pain,51Q4Pn44Ys7D8GCNzVLDmg,0.805,0.201,0.731,126.873,0.0,-4.111,0.162,153227,1,0.326,0.225
Satisfaction,0hZIaQMGqu41dozEwqVa1b,0.685,0.66,0.577,110.326,2.69e-06,-4.655,0.109,130982,7,0.371,0.108
No Love (with SZA & Cardi B) - Extended Version,0IMUFRaM2W3wKNM1CSQ4Zm,0.722,0.192,0.613,133.937,0.0,-4.996,0.192,276214,1,0.607,0.116
wish that i could,5w4q9Es264UdYYr2AjnPhU,0.786,0.253,0.536,119.043,0.000172,-7.955,0.183,207880,0,0.375,0.0526
Gotta Move On (feat. Bryson Tiller),3K9IrLs25jHtvWjAAFAfav,0.699,0.55,0.679,102.919,0.0,-4.528,0.0816,160777,9,0.56,0.0556
Surprise,3xcapG4WdzvsER4g70MjKc,0.729,0.193,0.74,139.01,0.0,-4.12,0.132,155299,4,0.857,0.0556
Honey (with Muni Long),5C93HMg6JWdTey2P717Ozq,0.557,0.0349,0.6,90.166,0.0,-4.194,0.0978,141758,9,0.219,0.0434
You Got The Body,7einjlDEIa7ZjBcgbVLjdY,0.618,0.351,0.511,185.694,1.33e-05,-6.825,0.288,176620,10,0.627,0.151
Baby Boo (with Saweetie),68aV83AuiEu1xeHDGulsyB,0.776,0.127,0.83,134.681,0.0,-4.676,0.16,152241,5,0.662,0.0659
Fake Love In LA,3JpStMOHR7ypvk1TvkF3sg,0.536,0.453,0.858,90.405,0.0,-4.884,0.123,153724,0,0.456,0.298
Bad Idea (feat. Blxst),0igni3l2TL5YMWiTa2b1Qb,0.6,0.137,0.663,80.092,0.0,-7.574,0.109,216000,1,0.475,0.19
Skin Tight (feat. Steve Lacy),4KVSdwwJ67JHu5s9vIA0zi,0.468,0.246,0.52,174.082,0.00259,-7.964,0.078,227000,3,0.46,0.0329
By My Side (feat. Kaash Paige),1IDB4GxDCGZexvddxi6RM7,0.75,0.394,0.578,139.971,0.0,-7.277,0.719,116571,2,0.582,0.221
Fair,1SlGaBvTqX0gb24ouXonOo,0.721,0.673,0.364,94.098,5.4e-05,-7.81,0.105,184013,5,0.4,0.0483
sorry,1Weox7JrxWlozk46HkXHTp,0.388,0.624,0.438,89.935,0.00155,-12.215,0.113,220199,4,0.0527,0.137
Out of Time,2SLwbpExuoBDZBpjfefCtV,0.65,0.255,0.76,93.057,0.0,-4.422,0.339,214194,0,0.838,0.0446
Don't Love Me,1hUhr4K3DD2iva88RMVAyY,0.793,0.511,0.538,115.001,1.57e-06,-6.308,0.104,167020,1,0.412,0.0343
Bling Up,395GwdPbJqFzM7ihmlCe8Z,0.765,0.655,0.449,120.012,0.0,-12.537,0.36,177914,4,0.653,0.173
Happy Hour (feat. T-Pain),39O9qxLezqqrmre1TPGRVu,0.677,0.155,0.509,136.087,6.43e-06,-8.103,0.123,248701,1,0.767,0.0706
Honest (feat. Don Toliver),2KdKh9vHbKW0tZLqtpxxI0,0.81,0.127,0.655,150.002,8.16e-05,-6.779,0.105,193322,8,0.809,0.0698
Another,0R3BfnrLdW13mopXeKOTQZ,0.77,0.452,0.581,120.019,0.0,-5.307,0.128,152175,11,0.284,0.0908
up at night (feat. justin bieber),4WghJOMjDpGdlk3b8aJIgy,0.563,0.196,0.756,100.012,0.0,-3.852,0.245,182227,0,0.234,0.0579
Letter To Ur N(ex)t,4LjOVLoj6OrrNJktFTYPGK,0.49,0.879,0.296,105.829,0.000141,-10.989,0.106,134279,2,0.0971,0.0985
Dope (with JID),3E1y4V7dxcn5AwKCD4AqFn,0.728,0.0747,0.849,114.033,2.58e-05,-5.092,0.193,158745,1,0.956,0.049
Naturally,3pIGVPZfTE7GCzT07XDcY6,0.62,0.171,0.63,85.42,0.0,-5.578,0.0824,194821,10,0.543,0.198
CYBAH (feat. Lucky Daye),2qEyhtx20tSCSubM3JXhxu,0.722,0.0537,0.467,74.968,0.000557,-7.519,0.122,244139,5,0.68,0.077
Yamz,0IQ3KOas5wGRregqoMb9HF,0.678,0.00495,0.729,77.045,2.5e-06,-6.389,0.019,245072,6,0.59,0.0441
Tough Love (feat. Moneybagg Yo),5qidBQqsjdwewlQaw16o3L,0.688,0.329,0.59,96.975,0.0,-7.535,0.105,273794,9,0.316,0.329
Treat Me,2ZCu2xskiEBCV3y0eu0zJG,0.708,0.0442,0.793,94.005,2.62e-06,-2.518,0.0362,149866,7,0.503,0.0417
City of Gods (Part II),33pp6wXPrz46pIwsBrG3HS,0.29,0.784,0.421,78.027,0.0,-6.951,0.0897,192000,8,0.308,0.034
All Along the Watchtower,2aoo2jlRnM3A0NyLQqMN2f,0.438,0.00255,0.805,113.253,5.69e-05,-6.237,0.0842,240800,8,0.564,0.0624
Gimme Shelter,1dv3ePjze9tPq2pk8eWJdR,0.63,0.463,0.616,118.65,0.0408,-8.128,0.173,270773,1,0.509,0.0309
Detroit Rock City,3uz0O62HqYoyRiWZjS61KK,0.479,0.00884,0.847,90.654,0.000206,-11.036,0.144,228560,0,0.317,0.0984
Wish You Were Here,6mFkJmJqdDVQ1REhVfGgd1,0.481,0.735,0.262,122.861,0.0114,-15.73,0.832,334744,7,0.375,0.0414
Smells Like Teen Spirit,5ghIJDpPoe3CfHMGu71E6T,0.502,2.55e-05,0.912,116.761,0.000173,-4.556,0.106,301920,1,0.72,0.0564
Paradise City,3YBZIN3rekqsKxbJc9FZko,0.273,0.0169,0.952,100.271,0.0111,-8.762,0.142,405640,11,0.472,0.0843
Let's Go Crazy,0QeI79sp1vS8L3JgpEO7mD,0.309,0.0192,0.93,195.815,0.0022,-6.399,0.106,280000,11,0.376,0.125
Another One Bites The Dust - Remastered 2011,57JVGBtBLCfHw2muk5416J,0.933,0.112,0.528,109.975,0.329,-6.472,0.163,214653,5,0.756,0.162
Highway to Hell,2zYzyRzz6pRmhPzyfMEC8s,0.574,0.061,0.913,115.728,0.00158,-4.793,0.156,208400,6,0.423,0.133
I Love Rock 'N Roll,2Cdvbe2G4hZsnhNMKyGrie,0.535,0.326,0.716,94.379,0.0,-5.025,0.659,175173,4,0.901,0.0431
Whole Lotta Love - 1990 Remaster,0hCB0YR03f6AmQaHbwWDe8,0.412,0.0484,0.902,89.74,0.131,-11.6,0.405,333893,9,0.422,0.405
Creep,70LcF31zb1H0PyJoS1Sx1r,0.515,0.0097,0.43,91.844,0.000133,-9.935,0.129,238640,7,0.104,0.0372
Something In The Way,1nFtiJxYdhtFfFtfXBv06s,0.427,0.745,0.201,105.218,0.263,-13.044,0.109,232147,8,0.0668,0.0317
Dream On,5MxNLUsfh7uzROypsoO5qe,0.307,0.388,0.433,160.9,9.08e-05,-10.057,0.332,266960,1,0.224,0.029
Livin' On A Prayer,0J6mQxEZnlRt9ymzFntA6z,0.534,0.0768,0.887,122.494,9.93e-05,-3.777,0.325,249293,0,0.72,0.0345
The Boys Are Back In Town,43DeSV93pJPT4lCZaWZ6b1,0.445,0.234,0.706,80.823,0.000252,-9.803,0.205,266720,8,0.768,0.0461
Don't Stop Believin',4bHsxqR3GMrXTxEPLuK5ue,0.5,0.127,0.748,118.852,0.0,-9.072,0.447,250987,4,0.514,0.0363
Seven Nation Army,3dPQuX8Gs42Y7b454ybpMR,0.743,0.0039,0.446,123.596,0.118,-7.807,0.337,232107,4,0.278,0.0683
Hotel California - 2013 Remaster,40riOy7x9W7GXjyGp4pjAv,0.579,0.00574,0.508,147.125,0.000494,-9.484,0.0575,391376,2,0.609,0.027
La Grange - 2005 Remaster,70YvYr2hGlS01bKRIho1HM,0.545,0.00249,0.64,80.544,0.0304,-9.937,0.196,230480,4,0.606,0.224
Heroes - 2017 Remaster,7Jh1bpe76CNTCgdgAdBw4Z,0.49,0.000671,0.758,112.114,0.484,-6.491,0.092,371413,7,0.435,0.0297
Tom Sawyer,3QZ7uX97s82HFYSmQUAN1D,0.536,0.00145,0.901,87.559,0.0186,-7.211,0.06,276880,9,0.666,0.0374
Are You Gonna Go My Way,45Ia1U4KtIjAPPU7Wv1Sea,0.619,0.00165,0.67,129.269,0.0109,-10.322,0.331,211933,11,0.777,0.0353
Killing In The Name,59WN2psjkt1tyaxjspN8fp,0.466,0.0266,0.833,88.785,0.0,-4.215,0.0327,313573,7,0.661,0.304
Baba O'Riley,2KmEgiY8fQs0G6WNxtzQKr,0.489,0.313,0.724,117.292,0.185,-8.367,0.287,300400,5,0.15,0.0352
Hold the Line,4aVuWgvD0X63hcOCnZtNFA,0.473,0.00783,0.898,96.556,0.0618,-4.797,0.173,235547,6,0.808,0.0561
While My Guitar Gently Weeps,7DzktdAh3zTT5Li8vam9tt,0.21,0.287,0.85,121.383,0.00607,-3.694,0.912,380587,7,0.382,0.0587
Paranoid,1Ly0ssAgeM7YqdHptao8Oe,0.426,8.44e-05,0.619,162.721,0.00239,-11.501,0.17,168440,4,0.382,0.0722
Police & Thieves - Remastered,6IMlcKjsIM3l3yXWykTa3y,0.721,0.0289,0.488,152.287,0.038,-10.294,0.18,363373,4,0.884,0.067
Under the Bridge,3d9DChrdc6BOeFsbrZ3Is0,0.559,0.0576,0.345,84.581,0.000105,-13.496,0.141,264307,4,0.458,0.0459
Back In Black,08mG3Y1vljYA6bvDt4Wqkj,0.31,0.011,0.7,188.386,0.00965,-5.678,0.0828,255493,9,0.763,0.047
Everlong,5UWwZ5lm5PKu6eKsHAGxOk,0.413,5.99e-05,0.881,158.066,0.000308,-5.541,0.0805,250547,11,0.364,0.0367
(I Can't Get No) Satisfaction - Mono Version,2PzU4IB8Dr6mxV3lHuaG34,0.723,0.0383,0.863,136.302,0.0317,-7.89,0.128,222813,2,0.931,0.0338
Paradise By the Dashboard Light,2g7gviEeJr6pyxO7G35EWQ,0.326,0.214,0.872,173.381,0.0,-7.602,0.461,508333,2,0.492,0.122
Dreams - 2004 Remaster,0ofHAoxe9vBkTCp2UQIavz,0.828,0.0644,0.492,120.151,0.00428,-9.744,0.128,257800,0,0.789,0.0276
We Will Rock You - Remastered 2011,54flyrjcdnQdco7300avMJ,0.693,0.679,0.497,81.308,0.0,-7.316,0.258,122067,2,0.473,0.119
Enter Sandman,5BIMPccDwShpXq784RJlJp,0.579,0.00206,0.824,123.331,0.00903,-8.71,0.059,331573,6,0.635,0.03
Sweet Home Alabama,4CJVkjo5WpmUAKp3R44LNb,0.597,0.181,0.605,97.782,0.000331,-12.013,0.118,281147,7,0.886,0.0255
Have You Ever Seen The Rain,2LawezPeJhN4AWuSB0GtAU,0.741,0.0664,0.697,116.109,2.28e-05,-7.028,0.133,160133,0,0.774,0.0277
Cult of Personality,5e3YOg6fIkP0wD5TyxcHOH,0.504,0.00164,0.918,92.031,2.12e-05,-3.463,0.78,294827,0,0.539,0.0517
Born To Be Wild,63OFKbMaZSDZ4wtesuuq6f,0.438,0.262,0.71,145.928,0.537,-12.412,0.221,210373,2,0.53,0.0919
Moonage Daydream - 2012 Remaster,6mib3N4E8PZHAGQ3xy7bho,0.56,0.0408,0.605,144.478,0.000162,-11.209,0.0585,279693,11,0.756,0.0348
Every Breath You Take - Remastered 2003,2sXp9Qmvc7mRaDBjBgcGGi,0.813,0.56,0.46,117.387,0.0105,-9.78,0.0724,253887,1,0.729,0.0346
I Wanna Rock,70Z9t1qhytWtG4cCmmi7mU,0.504,0.00512,0.911,106.244,0.0123,-2.97,0.355,179760,2,0.671,0.0738
You Really Got Me,1oG2vWELiGjIqxwqGcyqwF,0.567,0.0995,0.959,137.377,6.07e-05,-3.822,0.1,133933,8,0.961,0.102
Limelight,0K6yUnIKNsFtfIpTgGtcHm,0.581,0.00197,0.854,131.18,0.0013,-8.485,0.111,259840,1,0.788,0.0428
Black Dog - Remaster,3qT4bUD1MaWpGrTwcvguhb,0.437,0.396,0.864,81.394,0.0314,-7.842,0.242,295387,4,0.749,0.0904
London Calling - Remastered,5jzma6gCzYtKB1DbEwFZKH,0.651,0.123,0.801,133.769,0.0,-7.34,0.0825,200480,0,0.776,0.0514
Come Together - Remastered 2009,2EqlS6tkEnglzr7tkKAAYD,0.533,0.0302,0.376,165.007,0.248,-11.913,0.0926,259947,9,0.187,0.0393
House Of The Rising Sun,61Q9oJNd9hJQFhSDh6Qlap,0.315,0.000825,0.534,116.891,0.108,-7.552,0.101,269720,9,0.283,0.031
Sweet Child O' Mine,7snQQk1zcKl8gZ92AnueZW,0.446,0.0901,0.952,125.303,0.0857,-5.321,0.112,356067,6,0.624,0.0523
Purple Haze,0wJoRiX5K5BxlqZTolB2LD,0.533,0.00876,0.905,108.9,0.578,-5.27,0.0698,170813,2,0.486,0.0754
Sultans of Swing,6cr6UDpkjEaMQ80OjWqEBQ,0.73,0.0632,0.868,148.217,0.0661,-7.325,0.318,350400,5,0.923,0.0288
Wonderwall - Remastered,5wj4E6IsrVtn8IBJQOd0Cl,0.372,0.000453,0.865,174.53,0.0,-4.918,0.234,258733,2,0.478,0.0381
One Way Or Another - Remastered,5Th6EdNVhxp0TPX41ZLZk6,0.45,0.0118,0.877,162.477,4.95e-05,-6.403,0.0699,212707,9,0.896,0.0532
Song 2 - 2012 Remaster,1FTSo4v6BOZH9QxKc3MbVM,0.674,0.00178,0.789,129.802,0.00708,-6.903,0.0753,121160,8,0.918,0.0676
Heart-Shaped Box,11LmqTE2naFULdEP94AUBa,0.256,0.199,0.641,203.006,0.0329,-10.283,0.0853,281160,1,0.382,0.0552
American Girl,7MRyJPksH3G2cXHN8UKYzP,0.55,0.448,0.824,114.512,0.000127,-5.988,0.366,214733,2,0.777,0.0334
Edge of Seventeen - 2016 Remaster,5LNiqEqpDc8TuqPy79kDBu,0.591,0.327,0.804,111.457,5.98e-06,-7.299,0.0818,329413,0,0.658,0.0454
Jailbreak,4qbiCq2xkNPyojuZFeNeqx,0.616,0.196,0.761,145.074,0.0025,-9.199,0.374,240600,3,0.708,0.126
White Riot - Remastered,0brrVj6VnvrG70SjRTnEJA,0.168,0.000598,0.974,205.278,0.783,-4.862,0.295,116440,2,0.609,0.0655
Basket Case,6L89mwZXSOwYl76YXfX13s,0.442,0.00293,0.943,85.064,8.71e-06,-3.205,0.091,181533,3,0.781,0.0602
Jump - 2015 Remaster,5FqYA8KfiwsQvyBI4IamnY,0.572,0.171,0.835,129.981,0.000377,-6.219,0.0702,241600,0,0.795,0.0317
Stairway to Heaven - Remaster,0RO9W1xJoUEpq5MEelddFb,0.338,0.58,0.34,82.433,0.0032,-12.049,0.116,482830,9,0.197,0.0339
Sheena Is a Punk Rocker - 2017 Remaster,61MZN0yyMWSEwrLPUUGfgJ,0.42,0.0981,0.965,176.243,0.000335,-1.986,0.0784,169920,0,0.846,0.0403
Starman - 2012 Remaster,0pQskrTITgmCMyr85tb9qq,0.486,0.166,0.449,100.456,2.23e-06,-10.298,0.54,254293,5,0.549,0.0267
Purple Rain,54X78diSLoUDI3joC2bjMz,0.367,0.0353,0.452,113.066,0.00228,-10.422,0.689,520787,10,0.189,0.0307
Bohemian Rhapsody - Remastered 2011,1AhDOtG9vPSOmsWgNW0BEY,0.414,0.271,0.404,71.105,0.0,-9.928,0.3,354320,0,0.224,0.0499
We Got The Beat - 2011 Remaster,5o37x6LpNSec4jSfPIChsQ,0.595,0.195,0.996,152.049,0.0345,-3.418,0.0351,151107,2,0.376,0.0599
With Or Without You - Remastered,6ADSaE87h8Y3lccZlBJdXH,0.54,0.000202,0.429,110.171,0.355,-11.822,0.141,295516,2,0.113,0.0285
Crazy On You,5zH710lFSLtkHbMkslLDjR,0.427,0.116,0.459,129.878,0.000103,-12.442,0.132,293440,9,0.383,0.0332
Mountain Song,5fKZJHzJ9d3MADArbm9muW,0.324,0.0155,0.931,82.748,0.0252,-6.803,0.277,242720,9,0.313,0.0837
Kickstart My Heart,7GonnnalI2s19OCQO1J7Tf,0.359,0.00125,0.981,178.98,0.00236,-3.622,0.284,282653,7,0.271,0.303
Zombie,2IZZqH4K02UIYg5EohpNHF,0.307,0.0154,0.635,166.973,0.00483,-8.957,0.366,306427,7,0.304,0.0339
More Than a Feeling,32kgOw8wejH7zUhtXCM8DH,0.377,0.000894,0.682,108.736,0.00217,-8.039,0.0504,285133,7,0.288,0.0299
Saturday Night’s Alright (For Fighting) - Remastered 2014,12yHvSYFXI7PGzNecUvIDu,0.513,0.0195,0.979,152.875,0.0951,-6.362,0.0906,295466,0,0.94,0.0425
In The Air Tonight - 2015 Remastered,18AXbzPzBS8Y3AkgSxzJPb,0.446,0.551,0.239,189.507,4.1e-06,-13.945,0.0697,336453,0,0.298,0.0316
Thunderstruck,57bgtoPSgt236HzfBOd8kj,0.502,0.000147,0.89,133.52,0.0117,-5.175,0.217,292880,4,0.259,0.0364
Back on the Chain Gang - 2007 Remaster,4cMHCRLPNoEbpnl2rz6GS9,0.598,0.116,0.901,153.24,0.0401,-6.081,0.178,231120,2,0.814,0.0359
Rebel Rebel - 1999 Remaster,66lOpKgTyFjOrac4S1s94g,0.676,0.00101,0.92,126.341,8.65e-06,-7.96,0.248,269360,9,0.624,0.0435
Crosstown Traffic,1ntxpzIUbSsizvuAy6lTYY,0.486,0.248,0.963,113.133,2.39e-06,-5.586,0.158,146573,0,0.533,0.129
Break on Through (To the Other Side),6ToM0uwxtPKo9CMpbPGYvM,0.421,0.2,0.751,89.839,0.0,-9.584,0.17,145867,9,0.789,0.0472
Born in the U.S.A.,0dOg1ySSI7NkpAe89Zo0b9,0.398,0.000373,0.952,122.093,7.75e-05,-6.042,0.1,278680,4,0.584,0.061
Bitter Sweet Symphony,57iDDD9N9tTWe75x6qhStw,0.356,0.0335,0.917,171.176,0.0,-6.006,0.406,357267,9,0.518,0.0479
Won't Get Fooled Again - Original Album Version,7iLGljK0LNpGamQQEOuCRC,0.686,0.301,0.92,135.027,0.27,-6.231,0.0807,511400,2,0.225,0.0566
White Wedding - Pt. 1,1gzIbdFnGJ226LTl0Cn2SX,0.673,0.0133,0.814,147.193,0.00293,-5.411,0.343,252200,9,0.728,0.0367
The Spirit Of Radio,4e9hUiLsN4mx61ARosFi7p,0.365,0.0144,0.924,135.811,0.000254,-7.066,0.423,296467,4,0.632,0.0488
Carry on Wayward Son,4DMKwE2E2iYDKY01C335Uw,0.482,0.00321,0.786,126.755,8.88e-05,-5.735,0.446,323000,7,0.793,0.032
Mr. Brightside,7oK9VyNzrYvRFo7nQEYkWN,0.356,0.00101,0.924,148.017,0.0,-3.74,0.0953,222587,1,0.232,0.0808
Where Is My Mind? - Remastered,7wCmS9TTVUcIhRalDYFgPy,0.519,0.0204,0.441,81.334,0.000453,-14.178,0.076,234973,4,0.25,0.0353
Rock And Roll All Nite,7990Xs9HQx7FXVIDVPEwj9,0.656,0.046,0.931,144.747,0.0,-5.827,0.0543,168733,1,0.909,0.0976
Last Nite,3SUusuA9jH1v6PVwtYMbdv,0.624,0.0221,0.899,104.061,0.000137,-5.709,0.0975,193373,0,0.79,0.0296
Hit Me With Your Best Shot,0vOkmmJEtjuFZDzrQSFzEE,0.741,0.117,0.58,127.402,3.31e-05,-9.05,0.212,171267,4,0.944,0.0304
Under Pressure - Remastered 2011,2aSFLiDPreOVP6KHiWk4lF,0.663,0.524,0.712,113.439,0.0,-7.268,0.0804,236520,2,0.527,0.0479
Alive,1L94M3KIu7QluZe63g64rv,0.284,0.00752,0.875,75.009,0.000461,-6.069,0.402,340907,11,0.595,0.0422
Rock You Like a Hurricane - 2015 - Remaster,2fICdpdRotwfmGYzvs8Ngf,0.402,0.00484,0.873,125.443,7.3e-05,-3.209,0.157,253667,4,0.684,0.0586
You Give Love A Bad Name,0rmGAIH9LNJewFw7nKzZnc,0.541,0.0663,0.96,122.803,2.25e-06,-2.947,0.344,222707,0,0.812,0.0505
Fly Away,1OxcIUqVmVYxT6427tbhDW,0.587,0.018,0.872,159.925,0.0,-5.066,0.622,221333,7,0.735,0.0484
School's Out,5Z8EDau8uNcP1E8JvmfkZe,0.294,0.05,0.745,134.364,0.125,-9.138,0.676,210107,5,0.347,0.0461
Bullet With Butterfly Wings - Remastered 2012,6GtX0jaNL8IjVQfrDBx81z,0.404,5.59e-05,0.72,121.864,0.836,-9.18,0.0466,258467,10,0.475,0.0623
"Paint It, Black - Mono",1RJeiAIwR9pZBgJA8ndZLL,0.505,0.0103,0.836,159.669,0.0771,-7.384,0.295,204480,5,0.764,0.101
The Chain,2X6gdRlGOQgfaXU9ALUQFQ,0.546,0.0629,0.529,151.727,0.000567,-13.6,0.0383,271000,9,0.574,0.0436
Good Times Roll - 2016 Remaster,0nFKHCf1Ibij8m370l2KlZ,0.631,0.0731,0.689,107.667,0.000357,-8.358,0.102,225227,4,0.645,0.0284
Stuck In The Middle With You,3Vby4nGmtbDo7HDJamOWkT,0.82,0.0936,0.575,123.765,0.000135,-9.144,0.109,208947,7,0.964,0.0408
Fortunate Son,5e6x5YRnMJIKvYpZxLqdpH,0.636,0.0648,0.746,132.31,0.29,-3.785,0.173,138053,0,0.432,0.0393
Times Like These - Acoustic Version,1pXgBjIvALm97lDhroan2E,0.588,0.128,0.559,123.845,0.0,-4.849,0.0977,238587,4,0.278,0.0272
Layla - 40th Anniversary Version / 2010 Remastered,3k9i7UzeSUYWIfUZFeFDUd,0.404,0.577,0.903,115.672,0.297,-3.88,0.287,423840,1,0.498,0.0668
Lust For Life,21YxK0klhpfLW8budkJaMF,0.383,0.0276,0.97,101.603,0.0,-5.638,0.0942,313926,9,0.62,0.0435
Piece Of My Heart,3PGAgwFWnFCisvjb3rLyuh,0.482,0.0891,0.883,80.687,0.00422,-3.348,0.266,253805,4,0.594,0.0754
Hard To Handle,05NYcsjJwOYq4jIiKPVj9p,0.599,0.00257,0.79,103.783,0.00181,-3.58,0.312,188067,4,0.961,0.043
"Another Brick in the Wall, Pt. 2",4gMgiXfqyzZLMhsksGmbQV,0.693,0.0782,0.394,104.114,0.000694,-15.882,0.247,238747,0,0.721,0.0428
Jump - 2015 Remaster,7N3PAbqfTjSEU1edb2tY8j,0.572,0.171,0.835,129.981,0.000377,-6.219,0.0702,241600,0,0.795,0.0317
Janie Jones - Remastered,6ywRlumSQjOOkcSnJYAgHw,0.591,0.0344,0.824,104.304,0.0,-7.83,0.146,128720,6,0.741,0.0415
Dirty Deeds Done Dirt Cheap,2d4e45fmUnguxh6yqC7gNT,0.668,0.214,0.906,135.653,0.00245,-4.881,0.135,231933,11,0.507,0.17
Immigrant Song - Remaster,78lgmZwycJ3nzsdgmPPGNx,0.564,0.013,0.932,112.937,0.169,-10.068,0.349,146250,11,0.619,0.0554
Come As You Are,4P5KoWXOxwuobLmHXLMobV,0.5,0.00016,0.824,120.125,0.00161,-5.846,0.0916,218920,4,0.539,0.0388
Little Wing,1Eolhana7nKHYpcYpdVcT5,0.515,0.181,0.534,70.776,0.00278,-8.045,0.0547,145747,6,0.426,0.0768
Rebel Yell,4TIJ7zSBNejpoIPaWpWRKc,0.53,0.000753,0.864,166.312,0.000459,-4.948,0.354,288533,4,0.484,0.061
Free Fallin',5tVA6TkbaAH9QMITTQRrNv,0.623,0.212,0.449,84.383,0.0,-13.333,0.0613,256000,5,0.572,0.0253
Loser,5PntSbMHC1ud6Vvl8x56qd,0.654,0.0337,0.611,85.387,0.000178,-10.45,0.405,235000,2,0.786,0.119
Long Cool Woman (In a Black Dress) - 1999 Remaster,5UwbnHhjnbinJH8TefuQfN,0.757,0.411,0.868,138.923,0.00221,-9.326,0.355,199200,9,0.815,0.062
I Hate Myself for Loving You,2HXixVqzzm9rEUIMAWzshl,0.611,0.0847,0.882,117.932,1.08e-06,-11.225,0.192,246800,9,0.605,0.0538
Bad Moon Rising,6NxsCnLeLd8Ai1TrgGxzIx,0.647,0.0599,0.762,89.837,3.35e-06,-5.856,0.0705,141600,2,0.93,0.0287
